Detection, Sensor,tach0,tach1,tach2,tach3,tach4,tach5,tach6,tach7,tach8,tach9,tach10,tach11,tach12,tach13,tach14,tach15,tach16,tach17,tach18,tach19,tach20,tach21,tach22,tach23,tach24,tach25,tach26,tach27,tach28,tach29,tach30,tach31,tach32,tach33,tach34,tach35,tach36,tach37,tach38,tach39,tach40,tach41,tach42,tach43,tach44,tach45,tach46,tach47,tach48,tach49,tach50,tach51,tach52,tach53,tach54,tach55,tach56,tach57,tach58,tach59,tach60,tach61,tach62,tach63,tach64,tach65,tach66,tach67,tach68,tach69,tach70,tach71,tach72,tach73,tach74,tach75,tach76,tach77,tach78,tach79,tach80
C,1,94,135,180,148,127,137,148,148,116,94,94,106,106,84,42,42,42,42,53,42,31,42,74,106,106,74,74,63,63,63,53,53,84,106,94,63,42,31,31,31,31,31,31,31,31,53,63,63,31,31,74,63,21,21,42,53,42,31,21,10,0,0,0,21,21,31,53,106,148,190,222,233,243,254,254,254,243,233,243,,
C,1,97,48,106,156,156,147,156,171,213,238,221,229,221,171,97,65,73,57,48,23,23,41,32,32,57,82,73,65,57,57,57,48,65,82,89,82,57,23,32,57,57,40,23,15,7,0,15,32,23,23,48,48,32,57,48,40,48,40,32,48,48,32,32,40,57,57,89,139,196,229,238,238,238,229,213,213,221,238,253,,
C,1,110,51,110,187,187,170,161,170,194,204,187,178,170,144,85,25,34,51,51,42,25,25,34,25,51,85,68,68,59,51,25,17,34,59,68,51,17,17,17,34,17,8,0,0,8,8,17,17,17,34,51,25,17,42,34,42,42,17,17,25,34,17,17,17,25,34,68,136,194,229,246,238,246,255,255,255,255,246,238,,
C,1,131,65,131,196,180,164,155,180,196,196,172,172,180,155,98,32,41,57,65,49,32,24,49,49,65,65,65,65,57,41,24,16,32,65,65,65,49,49,49,57,32,32,24,8,8,32,49,41,32,57,65,32,16,32,32,32,24,16,16,16,16,0,0,0,8,24,57,123,172,213,221,237,237,246,254,254,254,246,237,,
C,1,184,149,140,140,123,96,70,61,70,79,79,35,26,44,35,35,17,17,44,61,79,70,61,52,52,44,35,26,44,52,52,44,44,44,44,35,26,26,26,17,35,52,61,52,44,44,44,26,0,17,17,26,26,17,0,17,17,17,17,17,35,52,79,132,167,184,202,211,202,211,202,202,211,220,228,237,237,255,255,,
L,1,98,58,127,186,186,156,147,176,186,186,186,186,176,156,107,58,49,68,68,49,19,19,39,39,49,88,78,58,58,49,49,29,39,58,68,58,39,29,29,29,19,9,0,0,0,9,29,49,39,39,68,58,29,29,29,29,9,0,9,9,9,9,9,29,29,49,78,137,186,225,254,254,254,254,254,254,254,254,245,245,254
L,1,132,61,20,102,142,153,132,112,122,142,142,132,132,132,122,71,40,30,40,51,40,20,30,71,51,51,81,61,61,51,51,40,20,30,40,40,40,40,30,40,40,30,30,20,0,0,20,30,30,20,30,51,40,20,40,30,20,20,0,0,20,20,10,0,10,10,20,51,112,183,224,234,244,255,255,244,234,244,224,224,224
L,1,95,31,106,180,180,148,148,159,180,191,148,148,148,127,95,42,31,42,31,10,10,21,53,42,63,84,63,53,42,42,21,10,21,42,42,42,21,31,42,63,42,21,10,0,10,10,21,21,21,42,63,42,31,42,31,42,42,42,42,63,53,31,21,21,31,31,63,138,201,233,233,233,233,212,223,233,254,254,254,254,255
L,1,42,14,113,169,99,99,99,127,184,198,184,169,141,127,113,56,70,84,56,56,42,56,70,70,113,127,99,70,70,70,56,70,99,113,113,99,70,70,70,56,42,28,42,28,28,56,70,42,28,56,70,28,0,28,28,28,28,14,28,14,28,28,28,28,56,70,70,99,127,169,184,198,198,212,212,240,240,254,240,226,212
L,1,117,29,9,88,127,107,88,68,117,166,186,186,186,166,127,58,29,39,39,29,0,9,39,29,49,78,58,49,39,39,19,9,19,39,49,39,39,29,49,68,58,49,39,29,9,0,9,19,9,29,49,39,29,58,49,49,49,39,29,39,49,39,19,19,19,29,29,58,117,166,205,235,254,254,254,254,235,225,235,235,235
L,1,91,51,122,173,163,122,132,163,173,173,173,173,173,132,91,61,81,71,61,30,20,40,51,51,81,71,61,51,40,30,10,10,20,40,40,20,20,20,40,40,20,20,0,0,10,30,30,10,40,81,71,71,61,71,61,51,51,40,20,30,30,20,10,20,30,40,71,122,173,204,214,234,224,224,224,234,244,255,255,244,224
