TrainingSlot,ValidationSlot,Sensor,Min,Max,Std,Avg,
4,4,TV,5295,16456,"1,807.36","8,780.53",1
16,16,TV,6151,14442,"1,775.99","8,948.80",1
40,40,TV,5732,17361,"1,905.10","9,068.60",1
26,26,BI,6144,14483,"1,435.04","9,094.95",1
1,1,BI,6186,17052,"1,542.17","9,156.03",1
28,28,TV,5327,15931,"2,140.28","9,177.47",1
25,25,BI,6284,15367,"1,541.65","9,185.98",1
37,37,BI,5829,14350,"1,477.67","9,224.77",1
3,3,TV,6184,16332,"1,485.49","9,241.31",1
14,14,BI,6928,15981,"1,457.39","9,268.35",1
4,4,TI,5687,14403,"1,473.55","9,280.53",1
2,2,BI,6433,14728,"1,357.92","9,293.49",1
37,37,RI,6746,13962,"1,317.12","9,328.26",1
1,1,RV,6634,15129,"1,374.02","9,367.86",1
2,2,RV,6663,13084,"1,321.91","9,370.83",1
38,38,TV,6205,14448,"1,584.59","9,466.16",1
27,27,BI,6836,18592,"1,712.48","9,490.49",1
38,38,BI,6203,16254,"1,469.58","9,524.07",1
1,1,LV,6577,14662,"1,217.06","9,529.85",1
3,3,BI,6506,32444,"2,201.54","9,539.16",1
2,2,LV,6052,14407,"1,349.04","9,548.06",1
37,37,TV,7233,13920,"1,273.17","9,580.02",1
28,28,TI,5778,14908,"1,564.56","9,582.71",1
25,25,RV,6131,15934,"1,498.08","9,584.87",1
38,38,LI,5961,17975,"1,897.62","9,598.38",1
1,1,TV,5841,16140,"1,531.90","9,610.99",1
26,26,TV,6153,19078,"1,685.94","9,611.88",1
2,2,LI,6498,15576,"1,586.62","9,613.56",1
28,28,BI,5976,18446,"2,153.63","9,623.14",1
13,13,BI,6364,18888,"1,996.33","9,623.34",1
39,39,TV,6395,22933,"1,692.38","9,637.98",1
40,40,TI,6239,15239,"1,616.11","9,667.51",1
14,14,LI,5635,18520,"2,334.81","9,672.46",1
25,25,TV,6980,14981,"1,411.70","9,681.94",1
14,14,RV,6371,14810,"1,597.02","9,686.18",1
27,27,TV,6250,45505,"2,854.60","9,690.52",1
4,4,BI,6133,17624,"1,852.02","9,707.45",1
37,37,RV,6670,16929,"1,765.05","9,727.46",1
38,38,LV,5105,16240,"1,750.46","9,730.11",1
25,25,RI,6882,14844,"1,397.39","9,733.58",1
16,16,TI,6571,21106,"1,735.27","9,737.21",1
14,14,TV,5841,24984,"2,547.04","9,741.83",1
27,27,RV,6309,25622,"1,779.01","9,747.84",1
3,3,LV,7040,14512,"1,257.05","9,748.24",1
2,2,TV,6629,20450,"1,754.24","9,754.41",1
26,26,LI,6435,22453,"2,177.28","9,764.61",1
1,1,RI,6970,15177,"1,445.90","9,766.58",1
38,38,RV,6352,16037,"1,763.40","9,766.93",1
13,13,TV,5754,19477,"1,913.64","9,767.94",1
4,4,RI,6176,15719,"1,673.41","9,768.37",1
15,15,BI,6832,16424,"1,547.06","9,772.55",1
38,38,RI,6260,15881,"1,560.80","9,778.76",1
15,15,RV,6124,18079,"1,600.29","9,797.89",1
37,37,LI,5616,15714,"1,665.91","9,812.25",1
25,25,LV,6801,16346,"1,489.63","9,832.62",1
26,26,BV,6406,15116,"1,575.62","9,837.31",1
40,40,RV,5855,17227,"2,138.28","9,842.37",1
39,39,RV,6498,28911,"1,815.88","9,844.24",1
40,40,RI,6607,16842,"1,830.05","9,863.46",1
26,26,RV,6549,18311,"1,869.82","9,890.60",1
26,26,RI,6810,14766,"1,452.41","9,896.61",1
39,39,LV,6026,39498,"2,837.97","9,897.11",1
1,1,LI,7342,16771,"1,728.53","9,906.54",1
3,3,RV,7082,15249,"1,532.57","9,912.55",1
37,37,LV,6139,19611,"1,831.56","9,913.00",1
25,25,BV,6739,15084,"1,552.50","9,915.63",1
28,28,RI,6172,16891,"2,072.98","9,935.00",1
3,3,LI,6557,16604,"1,794.09","9,942.64",1
28,28,RV,6321,17290,"2,073.42","9,944.08",1
13,13,RV,7269,16880,"1,586.29","9,944.49",1
25,25,LI,6480,15227,"1,741.18","9,945.36",1
39,39,BI,6310,26769,"1,997.44","9,965.72",1
38,38,BV,6454,15392,"1,608.31","9,968.92",1
16,16,BI,6735,18461,"1,802.39","9,969.24",1
27,27,TI,6245,21032,"1,810.99","9,973.03",1
28,28,LV,6233,29446,"2,450.86","9,981.62",1
27,27,LI,6339,19118,"1,995.23","9,988.93",1
37,37,BV,6931,19600,"1,561.65","9,992.82",1
13,13,LV,6513,17675,"1,698.87","9,993.66",1
27,27,LV,6546,38287,"2,567.69","9,994.12",1
26,26,LV,6144,17560,"1,696.23","10,002.80",1
40,40,BI,6386,17664,"2,094.22","10,004.55",1
15,15,LI,6700,15504,"1,697.57","10,008.09",1
2,2,TI,6362,15815,"1,750.52","10,011.98",1
15,15,LV,7105,19771,"1,684.15","10,012.58",1
2,2,RI,7031,17208,"1,504.97","10,023.74",1
13,13,RI,6502,16884,"1,532.61","10,034.47",1
14,14,TI,7150,16867,"1,750.36","10,061.84",1
13,13,LI,6318,21106,"2,018.56","10,065.19",1
14,14,LV,6162,17647,"1,643.70","10,070.02",1
16,16,RI,6490,18420,"2,070.32","10,083.59",1
1,1,TI,6201,18453,"1,947.04","10,093.02",1
15,15,RI,6840,17217,"1,639.56","10,093.86",1
25,25,TI,7035,19023,"1,917.46","10,114.14",1
14,14,RI,6852,15043,"1,553.59","10,126.22",1
26,26,TI,7147,17146,"1,574.76","10,162.03",1
1,1,BV,7149,16510,"1,694.75","10,197.05",1
15,15,TI,6864,17210,"1,702.70","10,204.00",1
3,3,BV,6706,15501,"1,481.91","10,204.28",1
40,40,LV,6064,17019,"2,202.26","10,259.85",1
4,4,LV,6883,21480,"2,392.69","10,268.55",1
27,27,RI,7322,19264,"1,628.88","10,272.29",1
27,27,BV,7110,19234,"1,621.37","10,295.69",1
4,4,LI,7176,14436,"1,346.89","10,306.74",1
37,37,TI,6733,16928,"1,825.29","10,321.29",1
15,15,TV,5201,33866,"3,340.59","10,324.54",1
14,14,BV,6972,16178,"1,577.67","10,350.62",1
38,38,TI,6439,20525,"2,073.09","10,379.73",1
39,39,BV,6710,17418,"1,526.76","10,389.49",1
3,3,TI,6470,20570,"2,410.41","10,415.24",1
39,39,LI,6497,35935,"2,589.10","10,434.67",1
26,25,LI,6629,17123,"1,936.40","10,435.20",
2,2,BV,7361,27748,"1,958.18","10,450.90",1
39,39,RI,7111,34409,"2,196.48","10,480.32",1
15,15,BV,6768,15619,"1,658.14","10,525.71",1
13,13,TI,6273,25238,"2,311.66","10,532.91",1
28,28,BV,6548,17534,"2,432.43","10,551.92",1
